民國年,縣市,期作,收購類型,收購量(公噸)
105,苗栗縣,二期,輔導收購,99.1
105,彰化縣,一期,計畫收購,22005.4
105,彰化縣,一期,輔導收購,10326.7
105,彰化縣,一期,餘糧收購,6152.9
105,彰化縣,二期,計畫收購,6291.2
105,彰化縣,二期,輔導收購,475.0
105,彰化縣,二期,餘糧收購,41.4
105,南投縣,一期,計畫收購,1427.5
105,南投縣,一期,輔導收購,546.7
105,南投縣,一期,餘糧收購,531.7
105,南投縣,二期,計畫收購,575.0
105,南投縣,二期,輔導收購,11.6
105,雲林縣,一期,計畫收購,44944.8
105,雲林縣,一期,輔導收購,24370.5
105,雲林縣,一期,餘糧收購,21145.0
105,雲林縣,二期,計畫收購,5645.3
105,雲林縣,二期,輔導收購,182.4
105,嘉義縣,一期,計畫收購,27964.3
105,嘉義縣,一期,輔導收購,15127.1
105,嘉義縣,一期,餘糧收購,15097.2
105,嘉義縣,二期,計畫收購,4475.6
105,嘉義縣,二期,輔導收購,86.5
105,嘉義縣,二期,餘糧收購,7.1
105,屏東縣,一期,計畫收購,2871.0
105,屏東縣,一期,輔導收購,1229.0
105,屏東縣,一期,餘糧收購,815.4
105,屏東縣,二期,計畫收購,93.8
105,屏東縣,二期,輔導收購,47.7
105,屏東縣,二期,餘糧收購,76.0
105,臺東縣,一期,計畫收購,788.9
105,臺東縣,一期,輔導收購,186.6
